FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference,,SubDataSystemTime,PinnedSystemTime,TimeDifference
5696,85.26563,0.022334,76,179.10682,0.022352,,1.865432,1.965979,-0.100547
5697,85.287985,0.022355,77,179.12915,0.02233,,1.887787,1.988309,-0.100522
5698,85.310314,0.022329,78,179.151492,0.022342,,1.910116,2.010651,-0.100535
5699,85.343822,0.033508,79,179.173836,0.022344,,1.943624,2.032995,-0.089371
5700,85.377345,0.033523,80,179.196169,0.022333,,1.977147,2.055328,-0.078181
5701,85.410854,0.033509,81,179.218516,0.022347,,2.010656,2.077675,-0.067019
5702,85.444354,0.0335,82,179.240851,0.022335,,2.044156,2.10001,-0.055854
5703,85.47788,0.033526,83,179.263199,0.022348,,2.077682,2.122358,-0.044676
5704,85.511375,0.033495,84,179.285536,0.022337,,2.111177,2.144695,-0.033518
5705,85.544884,0.033509,85,179.307875,0.022339,,2.144686,2.167034,-0.022348
5706,85.578411,0.033527,86,179.330226,0.022351,,2.178213,2.189385,-0.011172
5707,85.611908,0.033497,87,179.352562,0.022336,,2.21171,2.211721,-1.1E-05
5708,85.645419,0.033511,88,179.374897,0.022335,,2.245221,2.234056,0.011165
5709,85.678947,0.033528,89,179.397238,0.022341,,2.278749,2.256397,0.022352
5710,85.712441,0.033494,90,179.41958,0.022342,,2.312243,2.278739,0.033504
5711,85.745954,0.033513,91,179.441918,0.022338,,2.345756,2.301077,0.044679
5712,85.779472,0.033518,92,179.464257,0.022339,,2.379274,2.323416,0.055858
5713,85.812968,0.033496,93,179.486599,0.022342,,2.41277,2.345758,0.067012
5714,85.846479,0.033511,94,179.497776,0.011177,,2.446281,2.356935,0.089346
5715,85.879991,0.033512,95,179.520121,0.022345,,2.479793,2.37928,0.100513
5716,85.913545,0.033554,96,179.542462,0.022341,,2.513347,2.401621,0.111726
5717,85.947019,0.033474,97,179.564804,0.022342,,2.546821,2.423963,0.122858
5718,85.980531,0.033512,98,179.587135,0.022331,,2.580333,2.446294,0.134039
5719,86.014036,0.033505,99,179.60948,0.022345,,2.613838,2.468639,0.145199
5720,86.047546,0.03351,100,179.631811,0.022331,,2.647348,2.49097,0.156378
5721,86.081055,0.033509,101,179.654152,0.022341,,2.680857,2.513311,0.167546
5722,86.10341,0.022355,102,179.676494,0.022342,,2.703212,2.535653,0.167559
5723,86.125742,0.022332,103,179.72118,0.044686,,2.725544,2.580339,0.145205
