FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference
5747,86.684245,0.022261,127,180.257355,0.022336
5748,86.706608,0.022363,128,180.279686,0.022331
5749,86.728937,0.022329,129,180.302031,0.022345
5750,86.75128,0.022343,130,180.324369,0.022338
5751,86.773618,0.022338,131,180.346711,0.022342
5752,86.795954,0.022336,132,180.369051,0.02234
5753,86.818295,0.022341,133,180.391398,0.022347
5754,86.840637,0.022342,134,180.413733,0.022335
5755,86.862977,0.02234,135,180.436074,0.022341
5756,86.885318,0.022341,136,180.458418,0.022344
5757,86.907659,0.022341,137,180.480757,0.022339
5758,86.929997,0.022338,138,180.514259,0.033502
5759,86.952341,0.022344,139,180.547781,0.033522
5760,86.974697,0.022356,140,180.581286,0.033505
5761,86.997026,0.022329,141,180.614802,0.033516
5762,87.019375,0.022349,142,180.648309,0.033507
5763,87.041702,0.022327,143,180.681823,0.033514
5764,87.064041,0.022339,144,180.715334,0.033511
5765,87.086386,0.022345,145,180.748849,0.033515
5766,87.10874,0.022354,146,180.782352,0.033503
5767,87.131085,0.022345,147,180.815862,0.03351
5768,87.153402,0.022317,148,180.849372,0.03351
5769,87.175738,0.022336,149,180.882884,0.033512
5770,87.198085,0.022347,150,180.916422,0.033538
5771,87.220424,0.022339,151,180.949911,0.033489
5772,87.242763,0.022339,152,180.983461,0.03355
5773,87.265126,0.022363,153,181.016931,0.03347
5774,87.28745,0.022324,154,181.050476,0.033545
5775,87.30979,0.02234,155,181.083971,0.033495
5776,87.332149,0.022359,156,181.117464,0.033493
5777,87.354478,0.022329,157,181.150981,0.033517
5778,87.376816,0.022338,158,181.184517,0.033536
5779,87.39917,0.022354,159,181.218002,0.033485
5780,87.421495,0.022325,160,181.251529,0.033527
5781,87.443841,0.022346,161,181.273865,0.022336
5782,87.488523,0.044682,162,181.29618,0.022315
5783,87.510866,0.022343,163,181.318528,0.022348
5784,87.533198,0.022332,164,181.340885,0.022357
5785,87.555541,0.022343,165,181.363199,0.022314
5786,87.577867,0.022326,166,181.385557,0.022358
5787,87.600217,0.02235,167,181.40788,0.022323
5788,87.622556,0.022339,168,181.430223,0.022343
5789,87.644891,0.022335,169,181.452577,0.022354
5790,87.667249,0.022358,170,181.474904,0.022327
5791,87.689606,0.022357,171,181.497249,0.022345
5792,87.711917,0.022311,172,181.519584,0.022335
5793,87.734275,0.022358,173,181.541925,0.022341
5794,87.7566,0.022325,174,181.5643,0.022375
5795,87.778943,0.022343,175,181.586635,0.022335
5796,87.801287,0.022344,176,181.608949,0.022314
5797,87.823628,0.022341,177,181.63129,0.022341
5798,87.845957,0.022329,178,181.653644,0.022354
5799,87.868314,0.022357,179,181.675971,0.022327
5800,87.890644,0.02233,180,181.698336,0.022365
5801,87.913003,0.022359,181,181.720656,0.02232
5802,87.935329,0.022326,182,181.742991,0.022335
5803,87.957667,0.022338,183,181.765348,0.022357
5804,88.002347,0.04468,184,181.787684,0.022336
5805,88.024689,0.022342,185,181.81002,0.022336
5806,88.047027,0.022338,186,181.832388,0.022368
5807,88.06937,0.022343,187,181.854707,0.022319
5808,88.091721,0.022351,188,181.877034,0.022327
5809,88.114105,0.022384,189,181.899383,0.022349
5810,88.136391,0.022286,190,181.921715,0.022332
5811,88.158745,0.022354,191,181.944058,0.022343
5812,88.181139,0.022394,192,181.966401,0.022343
5813,88.20341,0.022271,193,181.98876,0.022359
5814,88.225755,0.022345,194,182.011104,0.022344
5815,88.248087,0.022332,195,182.033429,0.022325
5816,88.270433,0.022346,196,182.05579,0.022361
5817,88.292829,0.022396,197,182.078104,0.022314
5818,88.315123,0.022294,198,182.100498,0.022394
5819,88.337479,0.022356,199,182.122846,0.022348
5820,88.359808,0.022329,200,182.145127,0.022281
5821,88.382137,0.022329,201,182.167469,0.022342
5822,88.404483,0.022346,202,182.189812,0.022343
5823,88.426817,0.022334,203,182.21217,0.022358
5824,88.449178,0.022361,204,182.234488,0.022318
5825,88.471495,0.022317,205,182.256847,0.022359
5826,88.493841,0.022346,206,182.279226,0.022379
5827,88.516187,0.022346,207,182.301513,0.022287
5828,88.538523,0.022336,208,182.323878,0.022365
5829,88.560864,0.022341,209,182.346213,0.022335
5830,88.583225,0.022361,210,182.368534,0.022321
5831,88.605543,0.022318,211,182.390897,0.022363
5832,88.627887,0.022344,212,182.413271,0.022374
5833,88.650232,0.022345,213,182.435614,0.022343
5834,88.672601,0.022369,214,182.457919,0.022305
5835,88.694909,0.022308,215,182.480238,0.022319
5836,88.717255,0.022346,216,182.502575,0.022337
5837,88.739584,0.022329,217,182.524935,0.02236
5838,88.761926,0.022342,218,182.536143,0.011208
5839,88.784267,0.022341,219,182.558429,0.022286
5840,88.806606,0.022339,220,182.58078,0.022351
5841,88.828948,0.022342,221,182.603166,0.022386
5842,88.851288,0.02234,222,182.636614,0.033448
5843,88.873633,0.022345,223,182.64779,0.011176
5844,88.896011,0.022378,224,182.670124,0.022334
5845,88.918328,0.022317,225,182.692465,0.022341
5846,88.940655,0.022327,226,182.714822,0.022357
5847,88.962992,0.022337,227,182.737155,0.022333
