FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
11723,0,0,0,28,195.617124,12.771680,0.018080,12.789760,0.000000,0.000000,0.000000,7.277800,0.000000,0.000000,1.264900,-8.837823,-4.955223,-1.973623,0.000000,0.000000,0.000000
11724,1,0,0,28,195.639450,12.954048,0.018688,13.614817,0.642080,0.691800,0.000000,14.704000,0.124100,0.007000,0.704900,-12.445123,-4.961823,-2.970823,7.306088,9.867389,7.333588
11725,3,2,0,28,195.650624,12.645887,0.019136,13.307008,0.641984,1.670400,0.000000,6.446600,0.336300,0.021500,0.725100,-9.645923,-4.964023,-2.783523,7.307788,10.178888,7.334488
11726,0,0,0,28,195.661803,12.994560,0.018304,13.012864,0.000000,0.000000,0.000000,9.689301,0.000000,0.000000,0.648700,-6.416523,-4.964423,-3.107323,0.000000,0.000000,0.000000
11727,1,0,0,28,195.684123,12.155681,0.342432,13.139712,0.641600,0.714000,0.000000,11.610200,0.117300,0.007000,0.747600,-15.618423,-4.966323,-2.936723,7.311989,9.825589,7.342489
11728,1,0,0,28,195.695299,12.335776,0.018176,12.996128,0.642176,0.784900,0.000000,4.032800,0.115600,0.006800,0.563700,-12.041424,-4.944223,-3.160123,7.314689,9.903888,7.341289
11729,1,0,0,28,195.706496,12.709504,0.018688,13.369121,0.640928,0.670800,0.000000,7.829800,0.114500,0.008600,0.760400,-8.219023,-4.959823,-3.010023,7.310989,9.876089,7.335989
11730,3,2,0,28,195.717645,12.741504,0.020576,13.401567,0.639488,1.837900,0.000000,8.393300,0.343700,0.048400,0.665100,-7.672023,-4.964023,-2.173823,7.311689,10.338388,7.337889
11731,0,0,0,28,195.728811,13.178848,0.019200,13.198048,0.000000,0.000000,0.000000,10.795200,0.000000,0.000000,0.595900,-5.277223,-4.964422,-3.270422,0.000000,0.000000,0.000000
11732,1,0,0,28,195.751151,12.764288,0.019840,13.425312,0.641184,0.701700,0.000000,13.185700,0.117900,0.012200,0.790400,-14.007524,-4.953523,-2.298223,7.306288,9.880888,7.334789
